"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","27649","Download sample file","","2025-12-08","passed","2025-12-08","","","",""
"","28129","Upload file via input","","2025-12-08","passed","2025-12-08","","","",""
"","11983","Capture key press events","","2025-12-08","passed","2025-12-08","","","",""
"","12174","Handle JS Confirm - Accept","","2025-12-08","passed","2025-12-08","","","",""
"","26825","Switch between iframe contexts","","2025-12-08","passed","2025-12-08","","","",""
"","11435","Toggle dynamic checkbox visibility","","2025-12-08","passed","2025-12-08","","","",""
"","29959","Handle JS Alert","","2025-12-08","skipped","2025-12-08","","","",""
"","13017","Verify dotesthere.com home page accessibility","","2025-12-08","passed","2025-12-08","","","",""
"","11951","Handle JS Confirm - Dismiss","","2025-12-08","passed","2025-12-08","","","",""
"","11697","Manual Testing Lab format validation","","2025-12-08","broken","2025-12-08","","","",""
"","11816","Enable/Disable dynamic input","","2025-12-08","passed","2025-12-08","","","",""
"","42881","Apply blur effects to text","","2025-12-08","broken","2025-12-08","","","",""
"","25886","Author page responds successfully","","2025-12-08","passed","2025-12-08","","","",""
"","12145","Add and remove dynamic elements","","2025-12-08","passed","2025-12-08","","","",""
"","11632","Trigger basic authentication simulation","","2025-12-08","passed","2025-12-08","","","",""
"","11862","Placeholder smoke scenario","","2025-12-08","passed","2025-12-08","","","",""
"","42424","Manual Testing Lab blur effects","","2025-12-08","broken","2025-12-08","","","",""
"","12084","Sort table by First Name","","2025-12-08","failed","2025-12-08","","","",""
"","12257","Apply grid layout settings","","2025-12-08","broken","2025-12-08","","","",""
"","12252","API Testing page responds successfully","","2025-12-08","passed","2025-12-08","","","",""
"","11964","Sort table by Last Name","","2025-12-08","failed","2025-12-08","","","",""
"","12085","Right-click context menu interaction","","2025-12-08","passed","2025-12-08","","","",""
"","11349","Test A/B version switching functionality","","2025-12-08","passed","2025-12-08","","","",""
"","42330","Manual Testing Lab pricing calculator","","2025-12-08","broken","2025-12-08","","","",""
"","30372","Adjust slider value","","2025-12-08","skipped","2025-12-08","","","",""
"","42768","Calculate total with pricing inputs","","2025-12-08","broken","2025-12-08","","","",""
"","12040","Drag column A to column B","","2025-12-08","passed","2025-12-08","","","",""
"","17686","Handle JS Prompt with input","","2025-12-08","passed","2025-12-08","","","",""
"","29676","Hover over figure elements","","2025-12-08","skipped","2025-12-08","","","",""
"","11829","Toggle checkbox states","","2025-12-08","passed","2025-12-08","","","",""
"","13212","Validate input formats","","2025-12-08","broken","2025-12-08","","","",""
"","14546","Wait for loading spinner completion","","2025-12-08","passed","2025-12-08","","","",""
"","14334","Home page responds successfully","","2025-12-08","passed","2025-12-08","","","",""
"","16000","Verify gallery link visibility toggle","","2025-12-08","passed","2025-12-08","","","",""
"","41579","Interact with dynamic table actions","","2025-12-08","broken","2025-12-08","","","",""
"","11471","Select dropdown options","","2025-12-08","passed","2025-12-08","","","",""
"","11138","Edit content in TinyMCE editor","","2025-12-08","passed","2025-12-08","","","",""
"","11901","Access shadow DOM elements","","2025-12-08","passed","2025-12-08","","","",""
"","27644","Login with valid credentials","","2025-12-08","failed","2025-12-08","","","",""
"","15057","Manual Testing Lab responds successfully","","2025-12-08","passed","2025-12-08","","","",""
"","12023","Refresh dynamic content","","2025-12-08","passed","2025-12-08","","","",""
"","16838","Primary navigation links are reachable","","2025-12-08","passed","2025-12-08","","","",""
"","12261","Detect broken images on page","","2025-12-08","passed","2025-12-08","","","",""
"","11769","Open and switch to new window","","2025-12-08","passed","2025-12-08","","","",""
"","11936","Apply visual theme settings","","2025-12-08","broken","2025-12-08","","","",""
